AIRPORT_SEQ_ID,AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,AIRPORT_STATE_CODE,AIRPORT_STATE_FIPS,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL,CITY_MARKET_WAC,LAT_DEGREES,LAT_HEMISPHERE,LAT_MINUTES,LAT_SECONDS,LATITUDE,LON_DEGREES,LON_HEMISPHERE,LON_MINUTES,LON_SECONDS,LONGITUDE,AIRPORT_START_DATE,AIRPORT_THRU_DATE,AIRPORT_IS_CLOSED,AIRPORT_IS_LATEST
1019201,10192,AFP,Anson County,"Wadesboro, NC",36,United States,US,North Carolina,NC,37,30192,"Wadesboro, NC",36,35,N,1,26,35.02388889,80,W,4,53,-80.08138889,7/1/2009 0:00,6/30/2011 0:00,0,0
1043101,10431,AVL,Asheville Regional,"Asheville, NC",36,United States,US,North Carolina,NC,37,30431,"Asheville, NC",36,35,N,26,6,35.435,82,W,32,28,-82.54111111,1/1/1950 0:00,6/30/2011 0:00,0,0
1105701,11057,CLT,Douglas Municipal,"Charlotte, NC",36,United States,US,North Carolina,NC,37,31057,"Charlotte, NC",36,35,N,13,9,35.21916667,80,W,56,9,-80.93583333,1/1/1950 0:00,12/31/1981 0:00,0,0
1143901,11439,DUF,Pine Island,"Duck, NC",36,United States,US,North Carolina,NC,37,31439,"Duck, NC",36,36,N,15,12,36.25333333,75,W,47,19,-75.78861111,3/1/1993 0:00,6/30/2011 0:00,0,0
1147901,11479,ECG,Elizabeth,"Elizabeth City, NC",36,United States,US,North Carolina,NC,37,31479,"Elizabeth City, NC",36,36,N,15,33,36.25916667,76,W,10,23,-76.17305556,1/1/1950 0:00,12/31/2002 0:00,0,0
1148601,11486,EDE,Northeastern Regional,"Edenton, NC",36,United States,US,North Carolina,NC,37,31486,"Edenton, NC",36,36,N,1,43,36.02861111,76,W,34,11,-76.56972222,4/1/2008 0:00,6/30/2011 0:00,0,0
1161701,11617,EWN,Craven County Regional,"New Bern/Morehead/Beaufort, NC",36,United States,US,North Carolina,NC,37,31617,"New Bern/Morehead/Beaufort, NC",36,35,N,4,25,35.07361111,77,W,2,33,-77.0425,1/1/1950 0:00,6/30/2008 0:00,0,0
1164101,11641,FAY,Fayetteville Regional/Grannis Field,"Fayetteville, NC",36,United States,US,North Carolina,NC,37,31641,"Fayetteville, NC",36,34,N,59,29,34.99138889,78,W,52,49,-78.88027778,1/1/1950 0:00,6/30/2011 0:00,0,0
1164201,11642,FBG,Simmons AFB,"Fort Bragg, NC",36,United States,US,North Carolina,NC,37,31642,"Fort Bragg, NC",36,35,N,7,55,35.13194444,78,W,56,6,-78.935,3/1/1985 0:00,6/30/2011 0:00,0,0
1199201,11992,GSB,Seymour Johnson AFB,"Goldsboro, NC",36,United States,US,North Carolina,NC,37,31992,"Goldsboro, NC",36,35,N,20,23,35.33972222,77,W,57,36,-77.96,1/1/1950 0:00,6/30/2011 0:00,0,0
